target,reports,startyr,endyr
Dongfang,2014,2008,2014
Dongfang,2008,2008,2014
Dongfang,2010,2008,2014
Dongfang,2012,2008,2014
Enercon,2014,2006,2014
Enercon,2006,2006,2014
Enercon,2008,2006,2014
Enercon,2010,2006,2014
Enercon,2012,2006,2014
Gamesa,2014,2006,2014
Gamesa,2012,2006,2014
Gamesa,2006,2006,2014
Gamesa,2008,2006,2014
Gamesa,2010,2006,2014
General Electric,2014,2006,2014
General Electric,2006,2006,2014
General Electric,2008,2006,2014
General Electric,2010,2006,2014
General Electric,2012,2006,2014
Goldwind,2014,2008,2014
Goldwind,2012,2008,2014
Goldwind,2010,2008,2014
Goldwind,2008,2008,2014
Guodian,2014,2010,2014
Guodian,2012,2010,2014
Guodian,2010,2010,2014
Ming Yang,2014,2008,2014
Ming Yang,2012,2008,2014
Ming Yang,2010,2008,2014
Ming Yang,2008,2008,2014
Mitsubishi,2014,2006,2014
Mitsubishi,2006,2006,2014
Mitsubishi,2008,2006,2014
Mitsubishi,2010,2006,2014
Mitsubishi,2012,2006,2014
Nordex,2014,2006,2014
Nordex,2006,2006,2014
Nordex,2008,2006,2014
Nordex,2010,2006,2014
Nordex,2012,2006,2014
REPower,2006,2006,2012
REPower,2010,2006,2012
REPower,2012,2006,2012
Siemens,2014,2006,2014
Siemens,2006,2006,2014
Siemens,2008,2006,2014
Siemens,2010,2006,2014
Siemens,2012,2006,2014
Suzlon,2014,2006,2014
Suzlon,2006,2006,2014
Suzlon,2008,2006,2014
Suzlon,2010,2006,2014
Suzlon,2012,2006,2014
Vestas,2014,2006,2014
Vestas,2006,2006,2014
Vestas,2008,2006,2014
Vestas,2010,2006,2014
Vestas,2012,2006,2014
