name_supplier,target,country_manuf,country_source,country_target,component,year,size,foundingyear,wind_specialization,outsource,OEM.supplier.samecountry,OEM.supplier.othercountry,manuf.supplier.samecountry
5478QQ,vestas,,denmark,denmark,control.system,2008,NA,1979,1,0,1,1,0
6491ZQ,vestas,denmark,denmark,denmark,control.system,2014,1072,1985,0,0,1,1,1
6491ZQ,vestas,uk,denmark,denmark,blade,2010,1072,1985,0,0,1,1,0
6491ZQ,vestas,uk,denmark,denmark,blade,2012,1072,1985,0,0,1,1,0
6491ZQ,vestas,uk,denmark,denmark,blade,2014,1072,1985,0,0,1,1,0
9958PL,general electric,,finland,usa,generator,2012,350,2006,0,1,0,0,0
9958PL,general electric,,finland,usa,power.converter,2012,350,2006,0,1,0,0,0
3107UL,general electric,,italy,usa,control.system,2012,2500,1963,0,1,0,0,0
9958PL,general electric,,finland,usa,generator,2014,350,2006,0,1,0,0,0
9958PL,general electric,,finland,usa,power.converter,2014,350,2006,0,1,0,0,0
3107UL,general electric,usa,italy,usa,control.system,2014,2500,1963,0,1,0,0,0
4876BK,general electric,,czech,usa,gearbox,2010,NA,2004,0,1,0,0,0
7706FC,vensys,,south korea,germany,forgings,2012,NA,1995,0,1,0,0,0
3271JU,vensys,,germany,germany,tower,2012,700,1999,0,1,1,1,0
3271JU,vensys,germany,germany,germany,tower,2014,700,1999,0,1,1,1,1
3271JU,vensys,czech,germany,germany,tower,2014,700,1999,0,1,1,1,0
4943ZZ,vensys,germany,germany,germany,tower,2014,NA,2008,1,1,1,1,1
2196UZ,vensys,france,france,germany,tower,2014,18,2013,1,1,0,0,1
1751YQ,vensys,germany,germany,germany,tower,2014,250,1872,0,1,1,1,1
9915SK,vensys,usa,usa,germany,tower,2014,24,1995,0,1,0,0,1
5679ZM,siemens,,spain,germany,forgings,2010,125,1969,1,1,0,0,0
8779WX,siemens,,germany,germany,forgings,2010,NA,NA,0,0,1,1,0
8779WX,siemens,,germany,germany,forgings,2012,NA,NA,0,0,1,1,0
6840TJ,siemens,,india,germany,forgings,2010,600,1993,0,1,0,0,0
8120MG,siemens,,germany,germany,forgings,2012,1754,1990,0,1,1,1,0
8017BD,siemens,,germany,germany,forgings,2012,1406,2005,0,1,1,1,0
5679ZM,siemens,,spain,germany,forgings,2012,125,1969,1,1,0,0,0
4978EF,siemens,,india,germany,forgings,2012,44081,1946,0,1,0,0,0
6840TJ,siemens,,india,germany,forgings,2012,600,1993,0,1,0,0,0
2972JZ,siemens,,germany,germany,forgings,2012,240,2002,0,1,1,1,0
1855VX,siemens,,japan,germany,bearing,2012,23360,1918,0,1,0,0,0
3706EL,siemens,,japan,germany,bearing,2012,31484,1914,0,1,0,0,0
3637MQ,siemens,,india,germany,forgings,2010,NA,2009,1,1,0,0,0
3637MQ,siemens,,india,germany,forgings,2012,NA,2009,1,1,0,0,0
5255XA,siemens,,india,germany,forgings,2010,NA,1962,0,1,0,0,0
5255XA,siemens,,india,germany,forgings,2012,NA,1962,0,1,0,0,0
1855VX,siemens,usa,japan,germany,bearing,2014,23360,1918,0,1,0,0,0
3706EL,siemens,japan,japan,germany,bearing,2014,31484,1914,0,1,0,0,1
1855VX,siemens,china,japan,germany,bearing,2014,23360,1918,0,1,0,0,0
1855VX,siemens,japan,japan,germany,bearing,2014,23360,1918,0,1,0,0,1
1855VX,siemens,other,japan,germany,bearing,2014,23360,1918,0,1,0,0,0
3706EL,siemens,china,japan,germany,bearing,2014,31484,1914,0,1,0,0,0
3706EL,siemens,usa,japan,germany,bearing,2014,31484,1914,0,1,0,0,0
3706EL,siemens,uk,japan,germany,bearing,2014,31484,1914,0,1,0,0,0
3706EL,siemens,poland,japan,germany,bearing,2014,31484,1914,0,1,0,0,0
7021WH,enercon,,germany,germany,blade,2006,428,1907,0,1,1,1,0
9294EQ,suzlon,,germany,india,gearbox,2006,3000,1981,1,1,0,0,0
8313MI,goldwind,china,china,china,generator,2012,NA,NA,1,1,1,1,1
9294EQ,suzlon,,germany,india,generator,2006,3000,1981,1,1,0,0,0
9294EQ,repower,,germany,germany,gearbox,2006,3000,1981,1,1,1,1,0
7244NU,suzlon,,india,india,blade,2006,7500,1995,1,0,1,1,0
7152CC,suzlon,,denmark,india,blade,2006,13998,1952,1,1,0,0,0
7194XB,suzlon,,belgium,india,gearbox,2006,1450,1923,1,0,0,0,0
9294EQ,general electric,,germany,usa,gearbox,2006,3000,1981,1,1,0,0,0
9294EQ,general electric,,germany,usa,generator,2006,3000,1981,1,1,0,0,0
2688ZK,suzlon,,germany,india,generator,2006,379000,1847,0,1,0,0,0
7244NU,suzlon,,india,india,tower,2006,7500,1995,1,0,1,1,0
7244NU,suzlon,,india,india,control.system,2006,7500,1995,1,0,1,1,0
8313MI,goldwind,china,china,china,generator,2014,NA,NA,1,1,1,1,1
7152CC,repower,,denmark,germany,blade,2006,13998,1952,1,1,0,0,0
9294EQ,vestas,,germany,denmark,gearbox,2006,3000,1981,1,1,0,0,0
5018FJ,general electric,,netherlands,usa,blade,2006,NA,NA,1,0,0,0,0
