year,product,Hs02 ID,PCI_hs02,Hs07 Product,PCI_hs07,Right4Char,component
2003,Semi-finished products of iron or non-alloy steel.,157207,-0.584521,,,7207,Forgings
2004,Semi-finished products of iron or non-alloy steel.,157207,-0.439,,,7207,Forgings
2005,Semi-finished products of iron or non-alloy steel.,157207,-0.357,,,7207,Forgings
2006,Semi-finished products of iron or non-alloy steel.,157207,0.135,,,7207,Forgings
2007,Semi-finished products of iron or non-alloy steel.,157207,0.057,,,7207,Forgings
2008,Semi-finished products of iron or non-alloy steel.,157207,-0.153,157207,-0.108965,7207,Forgings
2009,Semi-finished products of iron or non-alloy steel.,157207,0.016,157207,-0.318,7207,Forgings
2010,Semi-finished products of iron or non-alloy steel.,157207,-0.065,157207,-0.181,7207,Forgings
2011,Semi-finished products of iron or non-alloy steel.,157207,-0.11,157207,-0.031,7207,Forgings
2012,Semi-finished products of iron or non-alloy steel.,157207,-0.192,157207,-0.222,7207,Forgings
2013,Semi-finished products of iron or non-alloy steel.,157207,-0.275,157207,-0.355,7207,Forgings
2014,Semi-finished products of iron or non-alloy steel.,157207,-0.023,157207,-0.064,7207,Forgings
2015,Semi-finished products of iron or non-alloy steel.,157207,-0.206,157207,-0.215,7207,Forgings
2016,Semi-finished products of iron or non-alloy steel.,157207,-0.555,157207,-0.564,7207,Forgings
2017,Semi-finished products of iron or non-alloy steel.,157207,-0.981,157207,-0.89,7207,Forgings
2003,"Other bars and rods of iron or non-alloy steel, not further worked than for ...",157214,-1.05291,,,7214,Forgings
2004,"Other bars and rods of iron or non-alloy steel, not further worked than for ...",157214,-0.924,,,7214,Forgings
2005,"Other bars and rods of iron or non-alloy steel, not further worked than for ...",157214,-1.104,,,7214,Forgings
2006,"Other bars and rods of iron or non-alloy steel, not further worked than for ...",157214,-1.053,,,7214,Forgings
2007,"Other bars and rods of iron or non-alloy steel, not further worked than for ...",157214,-0.764,,,7214,Forgings
2008,"Other bars and rods of iron or non-alloy steel, not further worked than for ...",157214,-0.983,157214,-0.707042,7214,Forgings
2009,"Other bars and rods of iron or non-alloy steel, not further worked than for ...",157214,-0.981,157214,-0.976,7214,Forgings
2010,"Other bars and rods of iron or non-alloy steel, not further worked than for ...",157214,-0.961,157214,-0.948,7214,Forgings
2011,"Other bars and rods of iron or non-alloy steel, not further worked than for ...",157214,-1.188,157214,-1.068,7214,Forgings
2012,"Other bars and rods of iron or non-alloy steel, not further worked than for ...",157214,-1.064,157214,-0.852,7214,Forgings
2013,"Other bars and rods of iron or non-alloy steel, not further worked than for ...",157214,-0.772,157214,-0.812,7214,Forgings
2014,"Other bars and rods of iron or non-alloy steel, not further worked than for ...",157214,-1.078,157214,-1.072,7214,Forgings
2015,"Other bars and rods of iron or non-alloy steel, not further worked than for ...",157214,-1.013,157214,-1.023,7214,Forgings
2016,"Other bars and rods of iron or non-alloy steel, not further worked than for ...",157214,-0.959,157214,-0.96,7214,Forgings
2017,"Other bars and rods of iron or non-alloy steel, not further worked than for ...",157214,-1.134,157214,-1.14,7214,Forgings
2003,Other bars and rods of other alloy steel;,157228,0.763885,,,7228,Forgings
2004,Other bars and rods of other alloy steel;,157228,0.693,,,7228,Forgings
2005,Other bars and rods of other alloy steel;,157228,0.488,,,7228,Forgings
2006,Other bars and rods of other alloy steel;,157228,0.5,,,7228,Forgings
2007,Other bars and rods of other alloy steel;,157228,0.691,,,7228,Forgings
2008,Other bars and rods of other alloy steel;,157228,0.406,157228,0.327281,7228,Forgings
2009,Other bars and rods of other alloy steel;,157228,0.576,157228,0.367,7228,Forgings
2010,Other bars and rods of other alloy steel;,157228,0.759,157228,0.57,7228,Forgings
2011,Other bars and rods of other alloy steel;,157228,0.975,157228,0.695,7228,Forgings
2012,Other bars and rods of other alloy steel;,157228,0.912,157228,0.873,7228,Forgings
2013,Other bars and rods of other alloy steel;,157228,1.043,157228,0.862,7228,Forgings
2014,Other bars and rods of other alloy steel;,157228,1.039,157228,1.038,7228,Forgings
2015,Other bars and rods of other alloy steel;,157228,1.114,157228,1.109,7228,Forgings
2016,Other bars and rods of other alloy steel;,157228,0.898,157228,0.904,7228,Forgings
2017,Other bars and rods of other alloy steel;,157228,0.959,157228,0.961,7228,Forgings
2003,"Tube or pipe fittings (for example, couplings, elbows, sleeves), of iron or ...",157307,1.03073,,,7307,Forgings
2004,"Tube or pipe fittings (for example, couplings, elbows, sleeves), of iron or ...",157307,1.107,,,7307,Forgings
2005,"Tube or pipe fittings (for example, couplings, elbows, sleeves), of iron or ...",157307,0.708,,,7307,Forgings
2006,"Tube or pipe fittings (for example, couplings, elbows, sleeves), of iron or ...",157307,0.86,,,7307,Forgings
2007,"Tube or pipe fittings (for example, couplings, elbows, sleeves), of iron or ...",157307,1.123,,,7307,Forgings
2008,"Tube or pipe fittings (for example, couplings, elbows, sleeves), of iron or ...",157307,1.047,157307,1.06214,7307,Forgings
2009,"Tube or pipe fittings (for example, couplings, elbows, sleeves), of iron or ...",157307,0.738,157307,0.696,7307,Forgings
2010,"Tube or pipe fittings (for example, couplings, elbows, sleeves), of iron or ...",157307,0.805,157307,0.809,7307,Forgings
