country_source,country_group,country_abbr,country_order
germany,europe.w,DEU,1
denmark,europe.w,DNK,2
spain,europe.w,ESP,3
usa,usa,USA,4
japan,japan,JPN,5
china,china,CHN,6
india,india,IND,7
austria,europe.w,AUT,8
belgium,europe.w,BEL,9
finland,europe.w,FIN,10
france,europe.w,FRA,11
italy,europe.w,ITA,12
netherlands,europe.w,NLD,13
norway,europe.w,NOR,14
portugal,europe.w,PRT,15
sweden,europe.w,SWE,16
switzerland,europe.w,CHE,17
ireland,europe.w,IRL,18
uk,europe.w,GBR,19
czech,europe.o,CZE,20
estonia,europe.o,EST,21
lithuania,europe.o,LTU,22
slovakia,europe.o,SVK,23
poland,europe.o,POL,24
canada,canada,CAN,25
mexico,mexico,MEX,26
brazil,brazil,BRA,27
chile,chile,CHL,28
colombia,colombia,COL,29
south korea,south korea,KOR,30
indonesia,indonesia,IDN,31
malaysia,malaysia,MYS,32
thailand,thailand,THA,33
vietnam,vietnam,VNM,34
australia,australia,AUS,35
new zealand,new zealand,NZL,36
south africa,south africa,ZAF,37
turkey,turkey,TUR,38
egypt,egypt,EGY,39
russia,russia,RUS,40
other,other,OTH,41
