name_supplier,country_source,year,component,count_unique_3y,OEM_homesupp_count_3y,OEM_othersupp_count_3y,OEM_homesupp_perc_3y,OEM_outsource_count_3y,OEM_outsource_perc_3y,diverse_wind_3y,key,dongfang_3y,enercon_3y,gamesa_3y,general electric_3y,goldwind_3y,guodian_3y,ming yang_3y,mitsubishi_3y,nordex_3y,repower_3y,siemens_3y,suzlon_3y,vestas_3y,patentcount,patentcount_priorcum,patentcount_home,patentcount_priorcum_home,size,foundingyear,wind_specialization
8313MI,china,2012,generator,1,1,0,1,1,1,1,supplier,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1
8313MI,china,2013,generator,1,1,0,1,1,1,1,supplier,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1
8313MI,china,2014,generator,1,1,0,1,1,1,1,supplier,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1
8313MI,china,2015,generator,1,1,0,1,1,1,1,supplier,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1
8313MI,china,2016,generator,1,1,0,1,1,1,1,supplier,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1
1005DO,switzerland,2006,generator,2,0,2,0,2,1,1,supplier,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6.027402357,0,0,135800,1988,0
1005DO,switzerland,2007,generator,2,0,2,0,2,1,1,supplier,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5.354798203,0,0,135800,1988,0
1005DO,switzerland,2008,generator,5,0,5,0,5,1,2,supplier,0,0,1,1,0,0,0,0,0,0,2,0,1,0,5.354798203,0,0,135800,1988,0
1005DO,switzerland,2008,power.converter,3,0,3,0,3,1,2,supplier,0,0,1,0,1,0,0,0,0,0,0,0,1,2,19.68765381,0,0,135800,1988,0
1005DO,switzerland,2009,generator,4,0,4,0,4,1,2,supplier,0,0,1,1,0,0,0,0,0,0,1,0,1,2,5.868841702,0,0,135800,1988,0
1005DO,switzerland,2009,power.converter,3,0,3,0,3,1,2,supplier,0,0,1,0,1,0,0,0,0,0,0,0,1,4,20.73450574,0,0,135800,1988,0
1005DO,switzerland,2010,generator,5,0,5,0,5,1,2,supplier,0,0,1,1,0,0,0,0,0,0,2,0,1,4,8.988515447,0,0,135800,1988,0
1005DO,switzerland,2010,power.converter,3,0,3,0,3,1,2,supplier,0,0,1,0,1,0,0,0,0,0,0,0,1,6,23.62432988,0,0,135800,1988,0
